example_id,pair_id,task_type,variant_type,baseline_prompt,compare_prompt,pooling,layer,cosine_similarity,cosine_distance
clean_mediation_001_abl_conf_removed,pair_001,clean_mediation,confounder_removed,direct,mechanistic,final_token,0,1.0,0.0
clean_mediation_001_abl_conf_removed,pair_001,clean_mediation,confounder_removed,direct,mechanistic,final_token,1,0.997789740562439,0.002210259437561035
clean_mediation_001_abl_conf_removed,pair_001,clean_mediation,confounder_removed,direct,mechanistic,final_token,2,0.9823139905929565,0.017686009407043457
clean_mediation_001_abl_conf_removed,pair_001,clean_mediation,confounder_removed,direct,mechanistic,final_token,3,0.9647088646888733,0.03529113531112671
clean_mediation_001_abl_conf_removed,pair_001,clean_mediation,confounder_removed,direct,mechanistic,final_token,4,0.936518132686615,0.06348186731338501
clean_mediation_001_abl_conf_removed,pair_001,clean_mediation,confounder_removed,direct,mechanistic,final_token,5,0.9517822861671448,0.048217713832855225
clean_mediation_001_abl_conf_removed,pair_001,clean_mediation,confounder_removed,direct,mechanistic,final_token,6,0.968156099319458,0.03184390068054199
clean_mediation_001_abl_conf_removed,pair_001,clean_mediation,confounder_removed,direct,confounding_aware,final_token,0,1.0,0.0
clean_mediation_001_abl_conf_removed,pair_001,clean_mediation,confounder_removed,direct,confounding_aware,final_token,1,0.9985400438308716,0.001459956169128418
clean_mediation_001_abl_conf_removed,pair_001,clean_mediation,confounder_removed,direct,confounding_aware,final_token,2,0.9822661280632019,0.017733871936798096
clean_mediation_001_abl_conf_removed,pair_001,clean_mediation,confounder_removed,direct,confounding_aware,final_token,3,0.9625834822654724,0.03741651773452759
clean_mediation_001_abl_conf_removed,pair_001,clean_mediation,confounder_removed,direct,confounding_aware,final_token,4,0.9556686878204346,0.04433131217956543
clean_mediation_001_abl_conf_removed,pair_001,clean_mediation,confounder_removed,direct,confounding_aware,final_token,5,0.9633590579032898,0.036640942096710205
clean_mediation_001_abl_conf_removed,pair_001,clean_mediation,confounder_removed,direct,confounding_aware,final_token,6,0.972493052482605,0.02750694751739502
clean_mediation_001_abl_conf_removed,pair_001,clean_mediation,confounder_removed,direct,adversarial,final_token,0,1.0,0.0
clean_mediation_001_abl_conf_removed,pair_001,clean_mediation,confounder_removed,direct,adversarial,final_token,1,0.9978259801864624,0.0021740198135375977
clean_mediation_001_abl_conf_removed,pair_001,clean_mediation,confounder_removed,direct,adversarial,final_token,2,0.9850409626960754,0.01495903730392456
clean_mediation_001_abl_conf_removed,pair_001,clean_mediation,confounder_removed,direct,adversarial,final_token,3,0.9648644328117371,0.03513556718826294
clean_mediation_001_abl_conf_removed,pair_001,clean_mediation,confounder_removed,direct,adversarial,final_token,4,0.9647099375724792,0.03529006242752075
clean_mediation_001_abl_conf_removed,pair_001,clean_mediation,confounder_removed,direct,adversarial,final_token,5,0.9678033590316772,0.032196640968322754
clean_mediation_001_abl_conf_removed,pair_001,clean_mediation,confounder_removed,direct,adversarial,final_token,6,0.9652091860771179,0.03479081392288208
clean_mediation_001_abl_med_removed,pair_001,clean_mediation,mediator_removed,direct,mechanistic,final_token,0,1.0,0.0
clean_mediation_001_abl_med_removed,pair_001,clean_mediation,mediator_removed,direct,mechanistic,final_token,1,0.9977742433547974,0.0022257566452026367
clean_mediation_001_abl_med_removed,pair_001,clean_mediation,mediator_removed,direct,mechanistic,final_token,2,0.98223477602005,0.01776522397994995
