example_id,pair_id,task_type,variant_type,pooling,layer,n_prompts,prompt_set,mean_pairwise_similarity,mean_pairwise_distance
clean_mediation_001_orig,pair_001,clean_mediation,original,final_token,0,4,adversarial;confounding_aware;direct;mechanistic,1.0,0.0
clean_mediation_001_orig,pair_001,clean_mediation,original,final_token,1,4,adversarial;confounding_aware;direct;mechanistic,0.9983564416567484,0.0016435583432515832
clean_mediation_001_orig,pair_001,clean_mediation,original,final_token,2,4,adversarial;confounding_aware;direct;mechanistic,0.9899202088514963,0.010079791148503658
clean_mediation_001_orig,pair_001,clean_mediation,original,final_token,3,4,adversarial;confounding_aware;direct;mechanistic,0.9780426522095998,0.02195734779040015
clean_mediation_001_orig,pair_001,clean_mediation,original,final_token,4,4,adversarial;confounding_aware;direct;mechanistic,0.9596652885278066,0.04033471147219336
clean_mediation_001_orig,pair_001,clean_mediation,original,final_token,5,4,adversarial;confounding_aware;direct;mechanistic,0.9621852437655131,0.037814756234486935
clean_mediation_001_orig,pair_001,clean_mediation,original,final_token,6,4,adversarial;confounding_aware;direct;mechanistic,0.9659325381120046,0.034067461887995365
confounding_002_orig,pair_002,confounding,original,final_token,0,4,adversarial;confounding_aware;direct;mechanistic,1.0,0.0
confounding_002_orig,pair_002,confounding,original,final_token,1,4,adversarial;confounding_aware;direct;mechanistic,0.9983329673608144,0.0016670326391855506
confounding_002_orig,pair_002,confounding,original,final_token,2,4,adversarial;confounding_aware;direct;mechanistic,0.9895222286383311,0.010477771361668942
confounding_002_orig,pair_002,confounding,original,final_token,3,4,adversarial;confounding_aware;direct;mechanistic,0.9780721863110861,0.021927813688913944
confounding_002_orig,pair_002,confounding,original,final_token,4,4,adversarial;confounding_aware;direct;mechanistic,0.9554911156495413,0.044508884350458744
confounding_002_orig,pair_002,confounding,original,final_token,5,4,adversarial;confounding_aware;direct;mechanistic,0.9585896730422974,0.04141032695770264
confounding_002_orig,pair_002,confounding,original,final_token,6,4,adversarial;confounding_aware;direct;mechanistic,0.9632332623004913,0.03676673769950867
selection_bias_003_orig,pair_003,selection_bias,original,final_token,0,4,adversarial;confounding_aware;direct;mechanistic,1.0,0.0
selection_bias_003_orig,pair_003,selection_bias,original,final_token,1,4,adversarial;confounding_aware;direct;mechanistic,0.9982212086518606,0.001778791348139408
selection_bias_003_orig,pair_003,selection_bias,original,final_token,2,4,adversarial;confounding_aware;direct;mechanistic,0.9889928797880808,0.011007120211919186
selection_bias_003_orig,pair_003,selection_bias,original,final_token,3,4,adversarial;confounding_aware;direct;mechanistic,0.9771590530872345,0.022840946912765503
selection_bias_003_orig,pair_003,selection_bias,original,final_token,4,4,adversarial;confounding_aware;direct;mechanistic,0.9568271438280741,0.0431728561719259
selection_bias_003_orig,pair_003,selection_bias,original,final_token,5,4,adversarial;confounding_aware;direct;mechanistic,0.9597505033016205,0.04024949669837952
selection_bias_003_orig,pair_003,selection_bias,original,final_token,6,4,adversarial;confounding_aware;direct;mechanistic,0.9653817812601725,0.03461821873982751
mechanistic_distractor_004_orig,pair_004,mechanistic_distractor,original,final_token,0,4,adversarial;confounding_aware;direct;mechanistic,1.0,0.0
mechanistic_distractor_004_orig,pair_004,mechanistic_distractor,original,final_token,1,4,adversarial;confounding_aware;direct;mechanistic,0.9983678460121155,0.0016321539878845215
mechanistic_distractor_004_orig,pair_004,mechanistic_distractor,original,final_token,2,4,adversarial;confounding_aware;direct;mechanistic,0.989436556895574,0.010563443104426029
mechanistic_distractor_004_orig,pair_004,mechanistic_distractor,original,final_token,3,4,adversarial;confounding_aware;direct;mechanistic,0.9765881399313608,0.023411860068639156
mechanistic_distractor_004_orig,pair_004,mechanistic_distractor,original,final_token,4,4,adversarial;confounding_aware;direct;mechanistic,0.9600339233875275,0.039966076612472534
mechanistic_distractor_004_orig,pair_004,mechanistic_distractor,original,final_token,5,4,adversarial;confounding_aware;direct;mechanistic,0.962584008773168,0.037415991226832035
mechanistic_distractor_004_orig,pair_004,mechanistic_distractor,original,final_token,6,4,adversarial;confounding_aware;direct;mechanistic,0.9673309028148651,0.03266909718513489
