task_type,variant_type,baseline_prompt,compare_prompt,pooling,layer,n_examples,mean_cosine_similarity,mean_cosine_distance
clean_mediation,confounder_removed,direct,adversarial,final_token,0,1,1.0,0.0
clean_mediation,mediator_removed,direct,adversarial,final_token,0,1,1.0,0.0
clean_mediation,original,direct,adversarial,final_token,0,12,1.0,0.0
clean_mediation,randomized_design,direct,adversarial,final_token,0,1,1.0,0.0
clean_mediation,selection_bias_added,direct,adversarial,final_token,0,1,1.0,0.0
confounding,original,direct,adversarial,final_token,0,12,1.0,0.0
mechanistic_distractor,original,direct,adversarial,final_token,0,12,1.0,0.0
selection_bias,original,direct,adversarial,final_token,0,12,1.0,0.0
clean_mediation,confounder_removed,direct,adversarial,final_token,1,1,0.9978259801864624,0.0021740198135375977
clean_mediation,mediator_removed,direct,adversarial,final_token,1,1,0.9977805614471436,0.0022194385528564453
clean_mediation,original,direct,adversarial,final_token,1,12,0.9980555524428686,0.0019444475571314495
clean_mediation,randomized_design,direct,adversarial,final_token,1,1,0.9977973699569702,0.002202630043029785
clean_mediation,selection_bias_added,direct,adversarial,final_token,1,1,0.9981982707977295,0.0018017292022705078
confounding,original,direct,adversarial,final_token,1,12,0.9980700512727102,0.0019299487272898357
mechanistic_distractor,original,direct,adversarial,final_token,1,12,0.9982037444909414,0.0017962555090586345
selection_bias,original,direct,adversarial,final_token,1,12,0.9979800035556158,0.002019996444384257
clean_mediation,confounder_removed,direct,adversarial,final_token,2,1,0.9850409626960754,0.01495903730392456
clean_mediation,mediator_removed,direct,adversarial,final_token,2,1,0.985418438911438,0.014581561088562012
clean_mediation,original,direct,adversarial,final_token,2,12,0.9851990789175034,0.014800921082496643
clean_mediation,randomized_design,direct,adversarial,final_token,2,1,0.9848825335502625,0.015117466449737549
clean_mediation,selection_bias_added,direct,adversarial,final_token,2,1,0.9866781830787659,0.01332181692123413
confounding,original,direct,adversarial,final_token,2,12,0.984539121389389,0.015460878610610962
mechanistic_distractor,original,direct,adversarial,final_token,2,12,0.9849144866069158,0.015085513393084208
selection_bias,original,direct,adversarial,final_token,2,12,0.9845791061719259,0.015420893828074137
clean_mediation,confounder_removed,direct,adversarial,final_token,3,1,0.9648644328117371,0.03513556718826294
clean_mediation,mediator_removed,direct,adversarial,final_token,3,1,0.9647068977355957,0.0352931022644043
clean_mediation,original,direct,adversarial,final_token,3,12,0.9650582273801168,0.03494177261988322
clean_mediation,randomized_design,direct,adversarial,final_token,3,1,0.9633476138114929,0.03665238618850708
clean_mediation,selection_bias_added,direct,adversarial,final_token,3,1,0.9640435576438904,0.03595644235610962
confounding,original,direct,adversarial,final_token,3,12,0.9646829317013422,0.03531706829865774
mechanistic_distractor,original,direct,adversarial,final_token,3,12,0.9630926052729288,0.03690739472707113
selection_bias,original,direct,adversarial,final_token,3,12,0.9638839860757192,0.0361160139242808
clean_mediation,confounder_removed,direct,adversarial,final_token,4,1,0.9647099375724792,0.03529006242752075
clean_mediation,mediator_removed,direct,adversarial,final_token,4,1,0.964738667011261,0.035261332988739014
clean_mediation,original,direct,adversarial,final_token,4,12,0.9658616880575815,0.03413831194241842
clean_mediation,randomized_design,direct,adversarial,final_token,4,1,0.9643083810806274,0.03569161891937256
clean_mediation,selection_bias_added,direct,adversarial,final_token,4,1,0.964813768863678,0.03518623113632202
confounding,original,direct,adversarial,final_token,4,12,0.9649884949127833,0.0350115050872167
mechanistic_distractor,original,direct,adversarial,final_token,4,12,0.9655400216579437,0.034459978342056274
selection_bias,original,direct,adversarial,final_token,4,12,0.9671484529972076,0.03285154700279236
clean_mediation,confounder_removed,direct,adversarial,final_token,5,1,0.9678033590316772,0.032196640968322754
clean_mediation,mediator_removed,direct,adversarial,final_token,5,1,0.9673718214035034,0.03262817859649658
clean_mediation,original,direct,adversarial,final_token,5,12,0.9662734071413676,0.03372659285863241
clean_mediation,randomized_design,direct,adversarial,final_token,5,1,0.9664077162742615,0.033592283725738525
clean_mediation,selection_bias_added,direct,adversarial,final_token,5,1,0.9674171209335327,0.032582879066467285
confounding,original,direct,adversarial,final_token,5,12,0.9654999772707621,0.03450002272923788
mechanistic_distractor,original,direct,adversarial,final_token,5,12,0.9676744937896729,0.03232550621032715
selection_bias,original,direct,adversarial,final_token,5,12,0.9676503539085388,0.03234964609146118
clean_mediation,confounder_removed,direct,adversarial,final_token,6,1,0.9652091860771179,0.03479081392288208
clean_mediation,mediator_removed,direct,adversarial,final_token,6,1,0.9655965566635132,0.034403443336486816
clean_mediation,original,direct,adversarial,final_token,6,12,0.9624415040016174,0.03755849599838257
clean_mediation,randomized_design,direct,adversarial,final_token,6,1,0.9638925790786743,0.036107420921325684
clean_mediation,selection_bias_added,direct,adversarial,final_token,6,1,0.9651564359664917,0.0348435640335083
confounding,original,direct,adversarial,final_token,6,12,0.9633254557847977,0.03667454421520233
mechanistic_distractor,original,direct,adversarial,final_token,6,12,0.9692458907763163,0.030754109223683674
selection_bias,original,direct,adversarial,final_token,6,12,0.9668191323677698,0.033180867632230125
clean_mediation,confounder_removed,direct,confounding_aware,final_token,0,1,1.0,0.0
clean_mediation,mediator_removed,direct,confounding_aware,final_token,0,1,1.0,0.0
clean_mediation,original,direct,confounding_aware,final_token,0,12,1.0,0.0
clean_mediation,randomized_design,direct,confounding_aware,final_token,0,1,1.0,0.0
clean_mediation,selection_bias_added,direct,confounding_aware,final_token,0,1,1.0,0.0
confounding,original,direct,confounding_aware,final_token,0,12,1.0,0.0
mechanistic_distractor,original,direct,confounding_aware,final_token,0,12,1.0,0.0
selection_bias,original,direct,confounding_aware,final_token,0,12,1.0,0.0
clean_mediation,confounder_removed,direct,confounding_aware,final_token,1,1,0.9985400438308716,0.001459956169128418
clean_mediation,mediator_removed,direct,confounding_aware,final_token,1,1,0.9985361099243164,0.0014638900756835938
clean_mediation,original,direct,confounding_aware,final_token,1,12,0.9985701243082682,0.0014298756917317708
