example_id,pair_id,task_type,variant_type,num_prompt_variants,parsed_answer_set,majority_answer,stability_score,any_prompt_flip
clean_mediation_001_renamed,pair_001,clean_mediation,renamed_terms,4,no|yes,yes,0.75,1
clean_mediation_005_renamed,pair_005,clean_mediation,renamed_terms,4,no|yes,yes,0.75,1
clean_mediation_009_renamed,pair_009,clean_mediation,renamed_terms,4,no|yes,yes,0.75,1
clean_mediation_013_renamed,pair_013,clean_mediation,renamed_terms,4,no|yes,yes,0.75,1
clean_mediation_017_renamed,pair_017,clean_mediation,renamed_terms,4,no|yes,yes,0.75,1
clean_mediation_021_renamed,pair_021,clean_mediation,renamed_terms,4,no|yes,yes,0.75,1
clean_mediation_025_renamed,pair_025,clean_mediation,renamed_terms,4,no|yes,yes,0.75,1
clean_mediation_029_renamed,pair_029,clean_mediation,renamed_terms,4,no|yes,yes,0.75,1
clean_mediation_033_renamed,pair_033,clean_mediation,renamed_terms,4,no|yes,yes,0.75,1
clean_mediation_037_renamed,pair_037,clean_mediation,renamed_terms,4,no|yes,yes,0.75,1
clean_mediation_041_renamed,pair_041,clean_mediation,renamed_terms,4,no|yes,yes,0.75,1
clean_mediation_045_renamed,pair_045,clean_mediation,renamed_terms,4,no|yes,yes,0.75,1
confounding_002_renamed,pair_002,confounding,renamed_terms,4,no|yes,yes,0.75,1
confounding_006_renamed,pair_006,confounding,renamed_terms,4,no|yes,yes,0.75,1
confounding_010_renamed,pair_010,confounding,renamed_terms,4,no|yes,yes,0.75,1
confounding_014_renamed,pair_014,confounding,renamed_terms,4,no|yes,yes,0.75,1
confounding_018_renamed,pair_018,confounding,renamed_terms,4,no|yes,yes,0.75,1
confounding_022_renamed,pair_022,confounding,renamed_terms,4,no|yes,yes,0.75,1
confounding_026_renamed,pair_026,confounding,renamed_terms,4,no|yes,yes,0.75,1
confounding_030_renamed,pair_030,confounding,renamed_terms,4,no|yes,yes,0.75,1
confounding_034_renamed,pair_034,confounding,renamed_terms,4,no|yes,yes,0.75,1
confounding_038_renamed,pair_038,confounding,renamed_terms,4,no|yes,yes,0.75,1
confounding_042_renamed,pair_042,confounding,renamed_terms,4,no|yes,yes,0.75,1
confounding_046_renamed,pair_046,confounding,renamed_terms,4,no|yes,no,0.5,1
mechanistic_distractor_004_renamed,pair_004,mechanistic_distractor,renamed_terms,4,no|yes,no,0.75,1
mechanistic_distractor_008_renamed,pair_008,mechanistic_distractor,renamed_terms,4,no|yes,no,0.75,1
mechanistic_distractor_012_renamed,pair_012,mechanistic_distractor,renamed_terms,4,no|yes,no,0.75,1
mechanistic_distractor_016_renamed,pair_016,mechanistic_distractor,renamed_terms,4,no|yes,no,0.75,1
mechanistic_distractor_020_renamed,pair_020,mechanistic_distractor,renamed_terms,4,no|yes,no,0.75,1
mechanistic_distractor_024_renamed,pair_024,mechanistic_distractor,renamed_terms,4,no|yes,no,0.75,1
mechanistic_distractor_028_renamed,pair_028,mechanistic_distractor,renamed_terms,4,no|yes,no,0.75,1
mechanistic_distractor_032_renamed,pair_032,mechanistic_distractor,renamed_terms,4,no|yes,no,0.75,1
mechanistic_distractor_036_renamed,pair_036,mechanistic_distractor,renamed_terms,4,no|yes,no,0.75,1
mechanistic_distractor_040_renamed,pair_040,mechanistic_distractor,renamed_terms,4,no|yes,no,0.75,1
mechanistic_distractor_044_renamed,pair_044,mechanistic_distractor,renamed_terms,4,no|yes,no,0.75,1
mechanistic_distractor_048_renamed,pair_048,mechanistic_distractor,renamed_terms,4,no|yes,no,0.75,1
selection_bias_003_renamed,pair_003,selection_bias,renamed_terms,4,no|yes,yes,0.75,1
selection_bias_007_renamed,pair_007,selection_bias,renamed_terms,4,no|yes,yes,0.75,1
selection_bias_011_renamed,pair_011,selection_bias,renamed_terms,4,no|yes,yes,0.75,1
selection_bias_015_renamed,pair_015,selection_bias,renamed_terms,4,no|yes,yes,0.75,1
selection_bias_019_renamed,pair_019,selection_bias,renamed_terms,4,no|yes,yes,0.75,1
selection_bias_023_renamed,pair_023,selection_bias,renamed_terms,4,no|yes,yes,0.75,1
selection_bias_027_renamed,pair_027,selection_bias,renamed_terms,4,no|yes,yes,0.75,1
selection_bias_031_renamed,pair_031,selection_bias,renamed_terms,4,no|yes,yes,0.75,1
selection_bias_035_renamed,pair_035,selection_bias,renamed_terms,4,no|yes,yes,0.75,1
selection_bias_039_renamed,pair_039,selection_bias,renamed_terms,4,no|yes,yes,0.75,1
selection_bias_043_renamed,pair_043,selection_bias,renamed_terms,4,no|yes,yes,0.75,1
selection_bias_047_renamed,pair_047,selection_bias,renamed_terms,4,no|yes,yes,0.75,1
